,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,2650,784,84.36,7.90462327003479,7904.62327003479,0.1265082428141574,4627.242524916944,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz,265,265,265,265,265,265,265,265,265,265,"[0.0, 75.99999904632568, 0.0, 0.0, 82.37735629081726, 0.0, 0.0, 84.4528317451477, 0.0, 85.3962242603302]",32.822641134262085,0.4
1,2,IID,960,784,80.39,2.9624199867248535,2962.4199867248535,0.3375618597231936,8759.748427672956,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz,96,96,96,96,96,96,96,96,96,96,"[0.0, 0.0, 81.04166388511658, 0.0, 85.41666865348816, 85.6249988079071, 86.66666746139526, 86.45833134651184, 87.29166388511658, 0.0]",51.24999940395355,0.6
2,3,IID,1600,784,80.22,3.2805068492889404,3280.5068492889404,0.3048309441014436,5901.6949152542375,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz,160,160,160,160,160,160,160,160,160,160,"[58.31249952316284, 77.62500047683716, 0.0, 0.0, 81.87500238418579, 0.0, 0.0, 0.0, 0.0, 0.0]",21.78125023841858,0.3
3,4,IID,3980,784,85.84,5.637427091598511,5637.427091598511,0.17738588610579206,4393.690851735016,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_4_local.npz,398,398,398,398,398,398,398,398,398,398,"[0.0, 0.0, 79.89949584007263, 81.6331684589386, 83.21608304977417, 83.39195847511292, 84.62311625480652, 85.07537841796875, 85.32663583755493, 85.80402135848999]",66.89698576927185,0.8
4,5,IID,2230,784,84.3,4.519047260284424,4519.047260284424,0.22128558131898385,5708.196721311476,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_5_local.npz,223,223,223,223,223,223,223,223,223,223,"[0.0, 0.0, 0.0, 80.13452887535095, 81.47982358932495, 0.0, 82.73542523384094, 0.0, 83.58744382858276, 83.90134572982788]",41.18385672569275,0.5
5,6,IID,2030,784,83.69,4.61169695854187,4611.69695854187,0.21683992009661032,4207.85498489426,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_6_local.npz,203,203,203,203,203,203,203,203,203,203,"[0.0, 0.0, 77.43842601776123, 0.0, 0.0, 81.37931227684021, 82.3645293712616, 83.05418491363525, 82.95566439628601, 0.0]",40.71921169757843,0.5
6,7,IID,900,784,80.34,3.653231620788574,3653.231620788574,0.2737302486679296,5779.253112033195,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_7_local.npz,90,90,90,90,90,90,90,90,90,90,"[59.44444537162781, 76.33333206176758, 79.55555319786072, 81.55555725097656, 82.99999833106995, 0.0, 84.44444537162781, 84.11111235618591, 85.44444441795349, 86.00000143051147]",71.98888897895813,0.9
7,8,IID,3740,784,85.25,5.664899826049805,5664.899826049805,0.17652562811464764,5295.817490494296,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz,374,374,374,374,374,374,374,374,374,374,"[0.0, 0.0, 0.0, 81.55080080032349, 82.29946494102478, 0.0, 0.0, 84.41176414489746, 0.0, 85.24064421653748]",33.35026741027832,0.4
8,9,IID,860,784,81.24,3.6652321815490723,3665.2321815490723,0.2728340117261986,5755.371900826446,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz,86,86,86,86,86,86,86,86,86,86,"[56.976741552352905, 74.88372325897217, 78.72093319892883, 0.0, 82.09302425384521, 0.0, 83.72092843055725, 0.0, 0.0, 85.5813980102539]",46.19767487049103,0.6
9,10,IID,1320,784,79.4,4.092656850814819,4092.6568508148193,0.24434005499408215,3380.5825242718447,/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz,132,132,132,132,132,132,132,132,132,132,"[59.31817889213562, 76.36363506317139, 79.24242615699768, 81.4393937587738, 0.0, 0.0, 84.09090638160706, 83.5606038570404, 0.0, 85.30303239822388]",54.93181765079498,0.7
