,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,1595,43,89.69,6.993114471435547,6993.114471435547,0.14299780220739328,5535.291139240507,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz,319,319,319,319,319,"[0.0, 88.4012520313263, 88.7147307395935, 88.96551728248596, 89.40438628196716, 0.0, 0.0, 90.09404182434082, 0.0, 91.03448390960693]",53.66144120693207,0.6
1,2,IID,520,43,87.77,6.251137971878052,6251.137971878052,0.15997087322319434,5869.637583892618,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz,104,104,104,104,104,"[0.0, 87.5, 87.5, 87.69230842590332, 87.5, 87.69230842590332, 0.0, 89.03846144676208, 88.84615302085876, 89.03846144676208]",70.48076927661896,0.8
2,3,IID,1125,43,87.38,6.785057544708252,6785.057544708252,0.14738268517411648,5791.894039735099,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz,225,225,225,225,225,"[0.0, 0.0, 90.48888683319092, 90.57777523994446, 90.84444642066956, 91.02222323417664, 91.11111164093018, 91.46666526794434, 91.91111326217651, 92.44444370269775]",72.98666656017303,0.8
3,4,IID,1735,43,89.67,7.253951549530029,7253.951549530029,0.13785589732327178,5535.291139240507,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz,347,347,347,347,347,"[85.0720465183258, 87.838613986969, 88.18444013595581, 88.47262263298035, 88.53026032447815, 88.70316743850708, 89.0489935874939, 0.0, 89.56772089004517, 90.08645415306091]",79.55043196678162,0.9
4,5,IID,1405,43,88.93,7.085189342498779,7085.189342498779,0.14113948853868225,5466.1,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz,281,281,281,281,281,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 88.89679908752441, 0.0, 0.0, 89.60853815078735]",17.850533723831177,0.2
5,6,IID,865,43,88.94,6.19097900390625,6190.97900390625,0.1615253418512713,2803.128205128205,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz,173,173,173,173,173,"[0.0, 87.97687888145447, 88.6705219745636, 0.0, 0.0, 89.13294672966003, 89.4797682762146, 90.40462374687195, 89.94219899177551, 90.63583612442017]",62.62427747249603,0.7
6,7,IID,590,43,87.47,6.762144565582275,6762.144565582275,0.14788207946481427,5084.7441860465115,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz,118,118,118,118,118,"[0.0, 92.03389883041382, 92.20339059829712, 92.88135766983032, 92.54237413406372, 0.0, 92.37288236618042, 0.0, 92.37288236618042, 0.0]",55.44067859649658,0.6
7,8,IID,1605,43,89.48,6.634466171264648,6634.466171264648,0.15072802757382694,5365.496932515337,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz,321,321,321,321,321,"[84.92211699485779, 0.0, 88.03738355636597, 88.53582739830017, 0.0, 0.0, 0.0, 88.97196054458618, 0.0, 89.28349018096924]",43.975077867507935,0.5
8,9,IID,1765,43,89.66,6.693992376327515,6693.992376327515,0.1493876813389238,4164.647619047619,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz,353,353,353,353,353,"[0.0, 88.27195763587952, 0.0, 88.38527202606201, 88.66855502128601, 88.7252151966095, 0.0, 0.0, 90.02832770347595, 90.14164209365845]",53.422096967697144,0.6
9,10,IID,1515,43,88.46,7.020776748657227,7020.776748657227,0.14243438237674444,5365.496932515337,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz,303,303,303,303,303,"[0.0, 87.45874762535095, 87.72277235984802, 0.0, 87.85478472709656, 88.05280327796936, 88.38284015655518, 0.0, 89.43894505500793, 0.0]",52.8910893201828,0.6
10,11,IID,1345,43,88.63,6.456237316131592,6456.237316131592,0.15488897805868973,5432.149068322981,/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz,269,269,269,269,269,"[0.0, 89.29368257522583, 89.36802744865417, 0.0, 89.66542482376099, 0.0, 90.03717303276062, 90.48327207565308, 90.63196778297424, 90.63196778297424]",63.01115155220032,0.7
